Course_Title,Class_Name,TeacherID,Year,Standards,Class_Type
Adv. Film Production,ADV FILM PROD,2,2017-2018,No,Arts
Adv. Film Production,ADV FILM PROD,2,2018-2019,No,Arts
Adv. Film Production,ADV FILM PROD,51,2019-2020,No,Arts
Advanced Graphic Design,ADV GRAPHIC DES,54,2020-2021,No,Arts
Advanced Graphic Design,ADV GRAPHIC DES,54,2021-2022,Yes,Arts
Advanced Graphic Design,ADV GRAPHIC DES,54,2022-2023,Yes,Arts
Advanced Industrial Arts,ADV IND ART,75,2021-2022,No,Arts
Advanced Photography,ADV PHOTO,54,2019-2020,No,Arts
Advanced Photography,ADV PHOTO,54,2020-2021,No,Arts
Advanced Weight Training,ADV WT TRAIN,87,2020-2021,No,PE
Algebra I,ALG l,82,2015-2016,No,Math
Algebra I,ALG l,82,2016-2017,No,Math
Algebra I,ALG l,82,2017-2018,No,Math
Algebra I,ALG l,96,2018-2019,No,Math
Algebra I,ALG l,82,2018-2019,No,Math
Algebra I,ALG l,82,2019-2020,Yes,Math
Algebra I,ALG l,52,2019-2020,No,Math
Algebra I,ALG l,82,2020-2021,Yes,Math
Algebra I,ALG l,82,2021-2022,Yes,Math
Algebra I,ALG l,82,2022-2023,Yes,Math
Algebra I,ALG l,75,2022-2023,Yes,Math
Algebra II,ALG ll,12,2015-2016,No,Math
Algebra II,ALG ll,12,2016-2017,No,Math
Algebra II,ALG ll,12,2017-2018,No,Math
Algebra II,ALG ll,12,2018-2019,No,Math
Algebra II,ALG ll,52,2019-2020,No,Math
Algebra II,ALG ll,52,2020-2021,Yes,Math
Algebra II,ALG ll,82,2021-2022,Yes,Math
Algebra II,ALG ll,52,2021-2022,Yes,Math
Algebra II,ALG ll,52,2022-2023,Yes,Math
Anatomy and Physiology,A & P,44,2018-2019,No,Science
Anatomy and Physiology,A & P,44,2019-2020,No,Science
Anatomy and Physiology,A & P,44,2020-2021,Yes,Science
Anatomy and Physiology,A & P,44,2021-2022,Yes,Science
Anatomy and Physiology,A & P,44,2022-2023,Yes,Science
AP Calculus,AP CALCULUS,12,2015-2016,No,Math
AP Calculus,AP CALCULUS,12,2017-2018,No,Math
AP Calculus,AP CALCULUS,12,2018-2019,No,Math
AP Calculus,AP CALCULUS,52,2019-2020,No,Math
AP Calculus,AP CALCULUS,52,2020-2021,No,Math
AP Calculus,AP CALCULUS,52,2021-2022,No,Math
AP Calculus,AP CALCULUS,52,2022-2023,No,Math
AP English Language,AP ENG LANG,59,2017-2018,No,English
AP English Language,AP ENG LANG,59,2018-2019,No,English
AP English Language,AP ENG LANG,59,2019-2020,No,English
AP English Language,AP ENG LANG,59,2020-2021,No,English
AP English Language,AP ENG LANG,59,2021-2022,Yes,English
AP English Language,AP ENG LANG,59,2022-2023,Yes,English
AP English Literature,AP ENG LIT,59,2015-2016,No,English
AP English Literature,AP ENG LIT,59,2016-2017,No,English
AP English Literature,AP ENG LIT,59,2017-2018,No,English
AP English Literature,AP ENG LIT,59,2018-2019,No,English
AP English Literature,AP ENG LIT,59,2019-2020,No,English
AP English Literature,AP ENG LIT,59,2020-2021,No,English
AP English Literature,AP ENG LIT,59,2021-2022,No,English
AP English Literature,AP ENG LIT,59,2022-2023,No,English
AP Human Geography,AP HUM G,82,2015-2016,No,Social Studies
AP Human Geography,AP HUM G,82,2016-2017,No,Social Studies
AP Human Geography,AP HUM G,82,2018-2019,No,Social Studies
AP Human Geography,AP HUM G,82,2019-2020,No,Social Studies
AP Human Geography,AP HUM G,82,2020-2021,No,Social Studies
AP Human Geography,AP HUM G,82,2021-2022,No,Social Studies
AP Human Geography,AP HUM G,82,2022-2023,No,Social Studies
AP Psychology,AP PSYCH,62,2016-2017,No,Science
AP Psychology,AP PSYCH,62,2017-2018,No,Science
AP Psychology,AP PSYCH,62,2018-2019,No,Science
AP Psychology,AP PSYCH,62,2019-2020,No,Science
AP Psychology,AP PSYCH,62,2020-2021,No,Science
AP Psychology,AP PSYCH,62,2022-2023,No,Science
Art,ART,73,2015-2016,No,Arts
Art,ART,73,2016-2017,No,Arts
Art,ART,73,2017-2018,No,Arts
Art,ART,73,2018-2019,No,Arts
Art,ART,62,2019-2020,No,Arts
Art,ART,62,2020-2021,No,Arts
Art,ART,62,2021-2022,Yes,Arts
Art,ART,62,2022-2023,Yes,Arts
Basic Algebra,BASIC ALG,75,2020-2021,No,Math
Basic Algebra,BASIC ALG,75,2021-2022,No,Math
Bible I,BIB l,90,2015-2016,No,Bible
Bible I,BIB l,9,2015-2016,No,Bible
Bible I,BIB l,9,2016-2017,No,Bible
Bible I,BIB l,9,2017-2018,No,Bible
Bible I,BIB l,9,2018-2019,No,Bible
Bible I,BIB l,9,2019-2020,No,Bible
Bible I,BIB l,9,2020-2021,No,Bible
Bible I,BIB l,9,2021-2022,No,Bible
Bible I,BIB l,9,2022-2023,No,Bible
Bible II,BIB ll,90,2015-2016,No,Bible
Bible II,BIB ll,9,2015-2016,No,Bible
Bible II,BIB ll,90,2016-2017,No,Bible
Bible II,BIB ll,90,2017-2018,No,Bible
Bible II,BIB ll,90,2018-2019,No,Bible
Bible II,BIB ll,90,2019-2020,No,Bible
Bible II,BIB ll,90,2020-2021,Yes,Bible
Bible II,BIB ll,90,2021-2022,Yes,Bible
Bible II,BIB ll,90,2022-2023,Yes,Bible
Bible III,BIB lll,90,2015-2016,No,Bible
Bible III,BIB lll,90,2016-2017,No,Bible
Bible III,BIB lll,90,2017-2018,No,Bible
Bible III,BIB lll,90,2018-2019,No,Bible
Bible III,BIB lll,90,2019-2020,No,Bible
Bible III,BIB lll,90,2020-2021,Yes,Bible
Bible III,BIB lll,9,2021-2022,No,Bible
Bible III,BIB lll,90,2022-2023,Yes,Bible
Bible IV,BIB lV,90,2015-2016,No,Bible
