,StudentID,Status,Class_Of,Gender,Birthdate,Course_Title,Class_Name,TeacherID,S1_Grade,S1_Avg,S1_GPA,S2_Grade,S2_Avg,S2_GPA,Year
0,10126,Graduate,2017,Female,8/31/1999,Bible III,BIB lll,90,,,,B+,89.0,3.0,2015-2016
1,10141,Graduate,2016,Male,11/29/1997,Bible IV,BIB lV,90,A-,96.0,4.0,A-,90.0,4.0,2015-2016
2,10141,Graduate,2016,Male,11/29/1997,U. S. Government,US GVT,90,B+,85.0,3.0,,,,2015-2016
3,10170,Graduate,2018,Male,2/28/2000,Bible II,BIB ll,90,C,75.0,2.0,,,,2015-2016
4,10170,Graduate,2018,Male,2/28/2000,World History,WR HIS,90,D,60.0,1.0,C-,72.0,2.0,2015-2016
5,10181,Graduate,2019,Male,4/4/2001,Bible I,BIB l,90,,,,C,75.0,2.0,2015-2016
6,10114,Withdrawn,2019,Female,1/29/2001,Bible I,BIB l,90,,,,A,98.0,4.0,2015-2016
7,10123,Graduate,2016,Male,4/17/1997,Bible IV,BIB lV,90,A-,96.0,4.0,B+,87.0,3.0,2015-2016
8,10124,Graduate,2018,Male,3/18/2001,Bible II,BIB ll,90,A,96.0,4.0,,,,2015-2016
9,10124,Graduate,2018,Male,3/18/2001,World History,WR HIS,90,A,96.0,4.0,A,93.0,4.0,2015-2016
10,10104,Graduate,2016,Male,7/6/1999,Bible IV,BIB lV,90,C,75.0,2.0,B-,82.0,3.0,2015-2016
11,10104,Graduate,2016,Male,7/6/1999,U. S. Government,US GVT,90,B-,85.0,3.0,,,,2015-2016
12,10149,Graduate,2018,Female,6/26/2000,Bible II,BIB ll,90,B+,85.0,3.0,,,,2015-2016
13,10149,Graduate,2018,Female,6/26/2000,World History,WR HIS,90,B,85.0,3.0,B+,88.0,3.0,2015-2016
14,10145,Graduate,2016,Male,6/23/1998,Bible IV,BIB lV,90,B+,85.0,3.0,A,93.0,4.0,2015-2016
15,10145,Graduate,2016,Male,6/23/1998,U. S. Government,US GVT,90,B,85.0,3.0,,,,2015-2016
16,10146,Graduate,2019,Male,12/19/1999,Bible I,BIB l,90,,,,C+,77.0,2.0,2015-2016
17,10168,Graduate,2018,Male,6/7/2000,Bible II,BIB ll,90,A,96.0,4.0,,,,2015-2016
18,10168,Graduate,2018,Male,6/7/2000,World History,WR HIS,90,B+,85.0,3.0,A-,90.0,4.0,2015-2016
19,10173,Withdrawn,2018,Female,3/7/2000,Bible III,BIB lll,90,B-,85.0,3.0,C,76.0,2.0,2015-2016
